interval_start_utc,interval_end_utc,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-26 04:00:00+00:00,Mid Atlantic - Dominion,0,1274,1988,3262
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-26 04:00:00+00:00,PJM RTO,0,4296,4588,8884
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-26 04:00:00+00:00,Western,0,3022,2600,5622
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-27 04:00:00+00:00,Mid Atlantic - Dominion,0,1428,2027,3455
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-27 04:00:00+00:00,PJM RTO,0,4663,4701,9364
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-27 04:00:00+00:00,Western,0,3235,2674,5909
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-28 04:00:00+00:00,Mid Atlantic - Dominion,0,1428,2098,3526
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-28 04:00:00+00:00,PJM RTO,0,4663,5150,9813
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-28 04:00:00+00:00,Western,0,3235,3052,6287
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-29 04:00:00+00:00,Mid Atlantic - Dominion,0,1348,4004,5352
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-29 04:00:00+00:00,PJM RTO,0,4618,8896,13514
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-29 04:00:00+00:00,Western,0,3270,4892,8162
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-30 04:00:00+00:00,Mid Atlantic - Dominion,0,1394,4118,5512
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-30 04:00:00+00:00,PJM RTO,0,4664,10089,14753
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-30 04:00:00+00:00,Western,0,3270,5971,9241
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-31 04:00:00+00:00,Mid Atlantic - Dominion,0,3639,5474,9113
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-31 04:00:00+00:00,PJM RTO,0,9085,12838,21923
2025-08-01 04:00:00+00:00,2025-08-02 04:00:00+00:00,2025-07-31 04:00:00+00:00,Western,0,5446,7364,12810
