interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-26T00:00:00-04:00,2025-10-26 04:00:00+00:00,Mid Atlantic - Dominion,29380,2229,1165,32774
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-26T00:00:00-04:00,2025-10-26 04:00:00+00:00,PJM RTO,54381,2744,3549,60674
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-26T00:00:00-04:00,2025-10-26 04:00:00+00:00,Western,25001,515,2384,27900
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-27T00:00:00-04:00,2025-10-27 04:00:00+00:00,Mid Atlantic - Dominion,29929,3137,1197,34263
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-27T00:00:00-04:00,2025-10-27 04:00:00+00:00,PJM RTO,54332,3823,3590,61745
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-27T00:00:00-04:00,2025-10-27 04:00:00+00:00,Western,24403,686,2393,27482
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-28T00:00:00-04:00,2025-10-28 04:00:00+00:00,Mid Atlantic - Dominion,29929,4147,1253,35329
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-28T00:00:00-04:00,2025-10-28 04:00:00+00:00,PJM RTO,54309,5115,3984,63408
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-28T00:00:00-04:00,2025-10-28 04:00:00+00:00,Western,24380,968,2731,28079
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,Mid Atlantic - Dominion,30536,4108,1260,35904
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,PJM RTO,54955,5082,4113,64150
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-29T00:00:00-04:00,2025-10-29 04:00:00+00:00,Western,24419,974,2853,28246
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,Mid Atlantic - Dominion,30750,3436,1338,35524
2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,PJM RTO,54749,4460,5769,64978
