interval_start_utc,interval_end_utc,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-25 04:00:00+00:00,Mid Atlantic - Dominion,17816,3727,1647,23190
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-25 04:00:00+00:00,PJM RTO,33430,7849,2991,44270
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-25 04:00:00+00:00,Western,15614,4122,1344,21080
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-26 04:00:00+00:00,Mid Atlantic - Dominion,17815,5379,2963,26157
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-26 04:00:00+00:00,PJM RTO,33429,9529,4366,47324
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-26 04:00:00+00:00,Western,15614,4150,1403,21167
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-27 04:00:00+00:00,Mid Atlantic - Dominion,17815,6066,2907,26788
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-27 04:00:00+00:00,PJM RTO,33429,10094,4243,47766
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-27 04:00:00+00:00,Western,15614,4028,1336,20978
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-28 04:00:00+00:00,Mid Atlantic - Dominion,18356,6070,3006,27432
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-28 04:00:00+00:00,PJM RTO,33970,10098,4377,48445
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-28 04:00:00+00:00,Western,15614,4028,1371,21013
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-29 04:00:00+00:00,Mid Atlantic - Dominion,18356,6022,3012,27390
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-29 04:00:00+00:00,PJM RTO,33970,10050,4416,48436
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-29 04:00:00+00:00,Western,15614,4028,1404,21046
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-30 04:00:00+00:00,Mid Atlantic - Dominion,18510,6013,3307,27830
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-30 04:00:00+00:00,PJM RTO,34124,11557,6385,52066
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-09-30 04:00:00+00:00,Western,15614,5544,3078,24236
2025-10-01 04:00:00+00:00,2025-10-02 04:00:00+00:00,2025-10-01 04:00:00+00:00,Mid Atlantic - Dominion,18510,6200,3740,28450
