interval_start_local,region,total_outage_mw,solar_price,wind_price,natural_gas_price,coal_price,nuclear_price,oil_price,hydro_price
2015-01-01,PJM RTO,5072.43,42.9,14.56,61.24,50.75,7.45,87.53,11.73
2015-01-02,PJM RTO,5070.69,42.44,25.3,74.39,51.91,8.56,113.66,10.47
2015-01-03,PJM RTO,4449.21,43.48,13.98,77.69,58.04,10.19,91.69,9.0
2015-01-04,PJM RTO,4333.67,40.55,21.36,67.6,50.71,6.59,118.12,14.69
2015-01-05,PJM RTO,4041.83,31.28,33.31,81.4,47.96,8.05,120.2,13.41
2015-01-06,PJM RTO,5009.4,35.15,34.27,59.96,57.49,7.45,116.37,7.84
2015-01-07,PJM RTO,4079.14,45.89,32.34,59.91,53.59,7.93,139.33,7.7
2015-01-08,PJM RTO,4414.79,39.02,17.28,89.65,63.57,10.48,118.86,4.71
2015-01-09,PJM RTO,4052.88,43.43,28.04,47.79,62.96,7.74,106.01,8.95
2015-01-10,PJM RTO,4457.74,48.71,19.21,81.31,62.07,8.05,130.48,5.23
2015-01-11,PJM RTO,4898.45,33.53,36.88,66.87,54.88,6.16,99.72,8.66
2015-01-12,PJM RTO,4328.53,42.25,27.94,63.25,54.15,7.1,104.83,8.26
2015-01-13,PJM RTO,4514.34,32.49,20.87,46.39,54.74,9.69,107.88,14.84
2015-01-14,PJM RTO,4494.24,43.57,25.25,62.26,63.76,10.12,108.74,5.06
2015-01-15,PJM RTO,4272.66,42.22,15.8,57.12,47.64,8.49,90.68,8.58
2015-01-16,PJM RTO,4383.68,33.17,14.18,90.52,45.45,7.08,130.98,7.34
2015-01-17,PJM RTO,4039.23,36.08,19.76,79.83,52.45,9.8,110.4,9.34
2015-01-18,PJM RTO,4310.19,48.31,44.76,68.36,46.75,8.8,99.6,5.57
2015-01-19,PJM RTO,5240.26,39.27,30.36,69.23,51.63,9.05,114.03,6.2
2015-01-20,PJM RTO,4387.73,33.27,29.39,79.35,57.96,8.01,108.73,10.29
2015-01-21,PJM RTO,4622.55,34.21,15.94,67.5,50.22,8.0,127.82,12.87
2015-01-22,PJM RTO,4092.98,33.7,37.99,56.24,57.0,6.91,102.71,10.6
2015-01-23,PJM RTO,4710.12,40.38,27.49,63.52,53.02,9.45,86.55,10.37
2015-01-24,PJM RTO,4114.24,37.6,23.3,71.36,52.38,6.56,101.13,6.53
2015-01-25,PJM RTO,4507.38,42.17,32.28,68.69,58.9,7.77,117.37,8.16
2015-01-26,PJM RTO,4021.84,39.15,19.89,74.67,52.17,7.21,123.14,10.22
2015-01-27,PJM RTO,4025.14,35.56,24.01,65.63,57.19,6.8,113.36,8.68
2015-01-28,PJM RTO,4188.38,37.68,17.41,70.22,60.29,7.9,108.08,11.0
2015-01-29,PJM RTO,4219.93,31.32,35.13,69.76,49.14,8.47,125.68,12.21
2015-01-30,PJM RTO,4045.3,36.62,16.63,72.42,49.86,9.52,76.17,8.17
2015-01-31,PJM RTO,4056.98,45.29,35.29,52.25,58.34,6.03,109.95,7.45
2015-02-01,PJM RTO,4028.13,38.83,22.76,78.39,51.35,5.89,104.27,7.71
2015-02-02,PJM RTO,4010.37,37.79,22.5,80.33,51.53,9.12,129.32,7.7
2015-02-03,PJM RTO,5487.37,38.15,16.2,55.7,52.6,8.54,114.86,12.74
2015-02-04,PJM RTO,4147.84,38.92,16.12,63.37,48.95,6.96,121.99,10.49
2015-02-05,PJM RTO,4352.54,48.86,24.27,81.82,51.99,7.63,119.46,12.44
2015-02-06,PJM RTO,4111.1,38.74,30.26,86.52,56.56,8.41,107.44,11.36
2015-02-07,PJM RTO,4325.96,34.59,29.09,84.62,60.41,6.93,97.67,9.16
2015-02-08,PJM RTO,4870.24,40.67,39.93,75.23,56.52,8.34,107.46,8.0
2015-02-09,PJM RTO,4303.93,42.67,41.11,75.89,62.28,6.66,110.89,2.66
2015-02-10,PJM RTO,4503.62,41.54,24.09,79.17,51.27,7.93,117.19,12.52
2015-02-11,PJM RTO,4124.41,43.31,36.78,50.66,51.9,7.59,103.61,9.15
2015-02-12,PJM RTO,4605.31,40.16,14.78,76.05,43.42,9.52,113.47,11.56
2015-02-13,PJM RTO,4842.22,38.34,28.65,64.39,51.27,7.32,105.02,12.05
2015-02-14,PJM RTO,4008.57,25.09,24.94,67.98,55.22,6.79,115.6,15.58
2015-02-15,PJM RTO,4375.05,32.81,18.45,67.67,56.05,6.6,87.5,3.95
2015-02-16,PJM RTO,4251.93,41.1,35.47,68.69,50.74,6.56,105.81,12.64
2015-02-17,PJM RTO,4352.57,44.19,17.4,96.25,45.15,6.69,86.99,11.16
2015-02-18,PJM RTO,4502.8,42.57,21.74,78.08,52.94,7.53,112.4,11.76
2015-02-19,PJM RTO,5344.62,23.38,24.11,43.78,55.14,5.86,96.5,6.47
2015-02-20,PJM RTO,5116.03,40.4,26.41,77.11,55.82,6.9,102.9,6.39
2015-02-21,PJM RTO,4848.46,39.68,24.8,64.81,57.62,8.05,116.13,14.87
2015-02-22,PJM RTO,4396.29,46.78,19.95,84.79,53.59,7.82,114.37,15.14
2015-02-23,PJM RTO,4115.32,31.95,16.99,64.97,63.5,6.12,115.01,10.99
2015-02-24,PJM RTO,4345.13,47.28,26.19,81.8,48.23,9.01,98.23,15.3
2015-02-25,PJM RTO,4304.77,40.63,24.51,59.62,56.22,8.38,91.58,12.14
2015-02-26,PJM RTO,4413.77,46.67,25.15,80.46,50.2,8.81,115.18,11.09
2015-02-27,PJM RTO,4004.14,37.26,21.7,60.28,56.19,7.93,104.84,7.19
2015-02-28,PJM RTO,4012.3,38.74,22.41,65.56,49.42,8.4,96.72,8.97
2015-03-01,PJM RTO,3329.82,28.64,34.68,44.1,42.88,7.27,85.7,4.1
2015-03-02,PJM RTO,3268.97,36.13,20.68,39.34,49.98,7.7,101.01,-0.76
2015-03-03,PJM RTO,3043.42,22.47,20.6,34.39,54.63,10.15,91.9,7.38
2015-03-04,PJM RTO,3067.89,28.76,15.2,42.34,49.77,8.93,86.65,5.39
2015-03-05,PJM RTO,3693.41,24.91,15.08,34.86,48.7,7.71,104.77,5.23
2015-03-06,PJM RTO,3075.83,33.91,30.32,49.17,53.53,9.9,99.57,7.54
2015-03-07,PJM RTO,3021.98,32.02,36.91,40.52,41.28,8.5,81.71,5.77
2015-03-08,PJM RTO,5830.55,25.71,24.74,41.39,49.62,5.96,102.01,5.74
2015-03-09,PJM RTO,6580.54,27.98,21.4,33.38,52.99,8.5,100.44,2.06
2015-03-10,PJM RTO,3176.31,31.95,22.59,46.91,53.02,8.44,115.17,6.45
2015-03-11,PJM RTO,3084.07,38.58,25.17,28.57,49.21,8.6,104.61,6.5
2015-03-12,PJM RTO,3371.75,32.31,20.49,63.06,58.98,8.19,106.38,7.44
2015-03-13,PJM RTO,3333.34,21.91,26.05,44.54,47.42,8.48,101.43,10.66
2015-03-14,PJM RTO,3610.77,26.27,37.82,33.92,46.47,6.84,104.15,6.13
2015-03-15,PJM RTO,3322.87,26.48,33.83,30.78,53.84,8.03,87.47,2.7
2015-03-16,PJM RTO,3551.49,22.73,25.5,25.81,44.77,7.2,96.52,8.35
2015-03-17,PJM RTO,4556.84,24.2,34.89,55.51,43.1,6.3,78.67,4.79
2015-03-18,PJM RTO,3231.77,22.81,20.83,51.69,40.49,6.31,103.37,3.48
2015-03-19,PJM RTO,3254.53,30.04,12.0,54.07,53.02,8.35,108.85,0.15
2015-03-20,PJM RTO,3372.03,31.78,15.34,39.92,47.31,7.49,78.97,2.82
2015-03-21,PJM RTO,4748.01,21.42,29.47,52.71,54.44,6.24,79.69,4.2
2015-03-22,PJM RTO,3462.22,37.93,22.51,20.64,45.54,8.2,119.97,2.89
2015-03-23,PJM RTO,3411.2,28.37,31.13,47.8,46.6,6.32,75.91,4.43
2015-03-24,PJM RTO,3023.96,31.33,29.42,57.14,49.37,8.28,81.16,11.89
2015-03-25,PJM RTO,3067.0,28.31,27.55,38.88,53.56,6.29,76.45,2.39
2015-03-26,PJM RTO,3032.62,26.87,31.69,46.61,53.78,10.61,101.0,1.26
2015-03-27,PJM RTO,3048.92,27.86,21.49,28.57,53.33,5.71,71.01,1.18
2015-03-28,PJM RTO,3723.59,27.93,29.93,49.82,45.29,8.6,100.33,3.4
2015-03-29,PJM RTO,3589.21,23.29,32.65,46.36,46.43,6.71,96.19,5.15
2015-03-30,PJM RTO,3450.6,27.58,36.38,33.91,41.03,7.95,80.6,5.99
2015-03-31,PJM RTO,3922.8,28.29,26.56,48.32,50.86,7.61,92.93,12.24
2015-04-01,PJM RTO,4175.75,38.77,18.46,38.94,46.95,8.75,81.58,5.12
2015-04-02,PJM RTO,3423.95,23.44,20.82,44.64,51.53,7.72,94.15,3.5
2015-04-03,PJM RTO,3023.24,29.1,10.34,40.0,48.91,8.75,95.65,3.98
2015-04-04,PJM RTO,3221.3,30.69,31.11,31.84,49.55,8.64,29.51,9.41
2015-04-05,PJM RTO,3012.35,32.87,21.26,44.19,53.12,8.33,109.33,2.75
2015-04-06,PJM RTO,3013.0,30.32,29.27,45.58,46.66,7.98,54.21,7.73
2015-04-07,PJM RTO,3624.51,30.34,34.34,30.89,56.07,8.91,89.38,0.18
2015-04-08,PJM RTO,3633.96,30.15,17.54,61.55,57.78,7.97,98.07,5.12
2015-04-09,PJM RTO,3698.12,30.43,20.78,25.96,53.97,6.6,112.57,10.42
2015-04-10,PJM RTO,3767.0,25.87,31.2,34.35,41.85,5.89,90.74,6.27
2015-04-11,PJM RTO,4000.81,22.56,35.8,42.76,57.55,9.95,68.18,5.08
2015-04-12,PJM RTO,3185.62,29.14,22.86,47.18,55.69,7.42,100.2,11.25
2015-04-13,PJM RTO,3753.29,26.71,40.03,50.63,50.33,7.53,102.38,1.52
