interval_start_utc,interval_end_utc,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-25 04:00:00+00:00,Mid Atlantic - Dominion,125,773,1268,2166
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-25 04:00:00+00:00,PJM RTO,125,1424,4641,6190
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-25 04:00:00+00:00,Western,0,651,3373,4024
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-26 04:00:00+00:00,Mid Atlantic - Dominion,125,935,1209,2269
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-26 04:00:00+00:00,PJM RTO,125,2142,4862,7129
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-26 04:00:00+00:00,Western,0,1207,3653,4860
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-27 04:00:00+00:00,Mid Atlantic - Dominion,125,1617,1484,3226
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-27 04:00:00+00:00,PJM RTO,125,3633,5062,8820
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-27 04:00:00+00:00,Western,0,2016,3578,5594
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-28 04:00:00+00:00,Mid Atlantic - Dominion,125,2696,1696,4517
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-28 04:00:00+00:00,PJM RTO,125,5219,7128,12472
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-28 04:00:00+00:00,Western,0,2523,5432,7955
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-29 04:00:00+00:00,Mid Atlantic - Dominion,125,2696,1898,4719
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-29 04:00:00+00:00,PJM RTO,125,5079,7694,12898
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-29 04:00:00+00:00,Western,0,2383,5796,8179
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-30 04:00:00+00:00,Mid Atlantic - Dominion,125,2757,1963,4845
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-30 04:00:00+00:00,PJM RTO,125,5134,9307,14566
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-06-30 04:00:00+00:00,Western,0,2377,7344,9721
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-07-01 04:00:00+00:00,Mid Atlantic - Dominion,125,3120,5821,9066
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-07-01 04:00:00+00:00,PJM RTO,125,4957,14514,19596
2025-07-01 04:00:00+00:00,2025-07-02 04:00:00+00:00,2025-07-01 04:00:00+00:00,Western,0,1837,8693,10530
2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,2025-06-26 04:00:00+00:00,Mid Atlantic - Dominion,125,451,1199,1775
2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,2025-06-26 04:00:00+00:00,PJM RTO,125,1830,4844,6799
2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,2025-06-26 04:00:00+00:00,Western,0,1379,3645,5024
2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,2025-06-27 04:00:00+00:00,Mid Atlantic - Dominion,125,561,1471,2157
2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,2025-06-27 04:00:00+00:00,PJM RTO,125,2587,5045,7757
2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,2025-06-27 04:00:00+00:00,Western,0,2026,3574,5600
2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,2025-06-28 04:00:00+00:00,Mid Atlantic - Dominion,125,1587,1686,3398
2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,2025-06-28 04:00:00+00:00,PJM RTO,125,4030,6646,10801
2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,2025-06-28 04:00:00+00:00,Western,0,2443,4960,7403
2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,2025-06-29 04:00:00+00:00,Mid Atlantic - Dominion,125,1587,1888,3600
2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,2025-06-29 04:00:00+00:00,PJM RTO,125,3890,6867,10882
